layer,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time
1,conv,,224,3,3,64,1,1,1,1,,,,,,,
2,conv,,224,3,64,64,1,1,1,1,,,,,,,
3,pool,,224,,64,,2,1,,,2,,,,,,
4,conv,,112,3,64,128,1,1,1,1,,,,,,,
5,conv,,112,3,128,128,1,1,1,1,,,,,,,
6,pool,,112,,128,,2,1,,,2,,,,,,
7,conv,,56,3,128,256,1,1,1,1,,,,,,,
8,conv,,56,3,256,256,1,1,1,1,,,,,,,
9,conv,,56,3,256,256,1,1,1,1,,,,,,,
10,pool,,56,,256,,2,1,,,2,,,,,,
11,conv,,28,3,256,512,1,1,1,1,,,,,,,
12,conv,,28,3,512,512,1,1,1,1,,,,,,,
13,conv,,28,3,512,512,1,1,1,1,,,,,,,
14,pool,,28,,512,,2,1,,,2,,,,,,
15,conv,,14,3,512,512,1,1,1,1,,,,,,,
16,conv,,14,3,512,512,1,1,1,1,,,,,,,
17,conv,,14,3,512,512,1,1,1,1,,,,,,,
18,pool,,14,,512,,2,1,,,2,,,,,,
19,fc,,7,,512,4096,,,1,,,,,,,,
20,fc,,1,,4096,4096,,,1,,,,,,,,
21,fc,,1,,4096,1000,,,1,,,,,,,,
